"companyName","email","email1","email2","city","country"
"MHF GMBH","","","","",""
"MICHAEL PETERSON","","","","",""
"MICRO GUM","","","","",""
"MID PACKAGING","","","","",""
"MIDA INTERNATIONAL","","","","",""
"Midwestern Bag & Supply","","","","",""
"Mikado Packaging Ltd.","","","","",""
"Milan","","","","",""
"Minini","","","","",""
"MISSISYSTEMS","","","","",""
"MLW Industries","","","","",""
"Moecklin-de","","","","",""
"Mohit Chopra","","","","",""
"MONDI","","","","",""
"Moosmann Gmbh","","","","",""
"MOTVOZ","","","","",""
"MR. REZA SAGER","","","","",""
"MSK ALMOR","","","","",""
"MTF Bigbag","","","","",""
"Multi Tarp & Bag","-","-","-","-","Durban"
"MULTITEC SRL","","","","","Italy"
"N&C Enterprices Ltd.","","","","",""
"N.J. Potuyt.","","","","",""
"Nakoda Ltd.","","","","",""
"Namco corp Ltd.","","","","",""
"Natura Global S.A","","","","",""
"Natural Reason","ana.rego@naturalreason.pt","","","","Portugal"
"NAYLOR BAG & SUPPLY","www.naylorbag.com","","","",""
"NAYLOR FARBER CEO","","","","",""
"NDC Polythenes Ltd.","","","","",""
"NEBIG VERPAKKINGEN BV","","","","",""
"NEDIMEX LTD.","","","","",""
"Neelkanth Polymers","","","","",""
"NELSONJOYCE","","","","",""
"Neptune Polymers pvt.","","","","",""
"Netgate","","","","",""
"NEW CUSTOMER","","","","",""
"Newport Industries Ltd","nicholas@newport-industries.com","","","","England"
"Nicolas","","","","",""
"Nidera Uruguaya S.A.","","","","",""
"NILKANTH LIME LTD.","","","","",""
"Nirmpex","","","","",""
"Nitin Ghodgaonkar","","","","",""
"NNFPL","","","","",""
"NNZ bv","","","","",""
"NNZ Denmark","","","","",""
"NNZ GERMANY","","","","",""
"NNZ Italy","","","","",""
"NNZ POLAND","","","","",""
"NNZ Switzerland","","","","",""
"NNZ USA","","","","",""
"Noemi Timar","","","","ASD",""
"Nordeste Brazil","","","","",""
"North Africa Co.","procurement1@northafrica-ly.com","abhijit@northafrica-ly.com","fandi@northafrica-ly.com","","Libya"
"Nothern Bag & Box co.","","","","",""
"NOVAFOOF S.A","","","","",""
"NPP Group Ltd","0","0","0","0","Ireland"
"Nuriel Israil","","","","",""
"NW","","","","",""
"NW Company","44546","","","",""
"nyp-corp","","","","",""
"OCCL","","","","New Delhi","India"
"Olam Edible Nuts","","","","",""
"OLAM GRAINS","","","","",""
"Oliva Garden SA","","","","",""
"OM AGRO INDUSTRIES","","","","",""
"OM TRAX","","","","",""
"OMAN TENDER","","","","",""
"OMC GROUP","","","","UK","UK"
"Oren","","","","",""
"Origin8rs Global Inc","","","","",""
"Orion Global PET","","","","",""
"Orpic","","","","",""
"OSKAR PLAST SRO","","","","","Czech Republic"
"Oswal Extrusion","","","","",""
"Oswal Portugal","","","","",""
"Ovasco Industries","","","","",""
"Ovasco Industries.","Drew@Ovasco.com ","","","",""
"OZ Bulk","","","","",""
"P.P.T.L.","","","","",""
"P.P.T.L. East Africa","","","","",""
"Pacific di VA.","","","","",""
"PACIFIC SUPPLIES","","","","",""
"PACK MAK LTD.","mindaugas@packmak.it","","","Kaunas","Lithuania"
"PACK SYSTEM SP. J","biuro@packsystem.pl","","","Ropczyce","Poland"
"PACKAGING SOLUTION","","","","",""
"PACKGEN","","","","",""
"PACKMAK LTD.","","","","",""
"PARAYATANA EXPORTS","","","","",""
"PARLE G","","","","",""
"PASSOS & OLIVEIRA","","","","",""
"PDF FACTORY","","","","",""
"PEMA Verpackung","","","","",""
"PGS Big Bags","","","","",""
"PHILIPS CARBON","","","","",""
"Philtex Packaging Solutions","","","","",""
"Phoenix","","","","",""
"PICOPLUS","","","","",""
"Pidilite Ind Ltd","","","","",""
"PIRAMAL ENTERPRISES LTD","","","","",""
"PITARCH Argentina","","","","",""
"PIUSA","","","","",""
"PLAST ECO","","","","",""
"Plastofine Industries Ltd.","","","","",""
"Platipel","","","","",""
"Polesy","","","","",""
"POLY INDUSTRIAL","","","","",""
"polybulk","","","","",""
"Polyindustrial Products Inc.","","","","",""
"Polypak.co.uk","","","","",""
"Polysack","","","","",""
"polytex","","","","",""
"POLYTEX PLASTICS CO LTD","","","","",""
"POPE PACKAGING","","","","",""
"Portugal","","","","",""
"Potuyt V.O.F. & Zn","","","","",""
"poudrsazan","","","","",""
"POWERTEX","","","","",""
"PPU Libamix","","","","",""
"PQ Corporation","","","","",""
"Prakash ji","","","","",""
"Pramukh Exim Pvt Ltd","","","","","India"
"PRANOVIA LTD","","","","",""
"Prashant Ganatra","","","","",""
"Praveen Khanna","","","","",""
"praveen kothari","","","","",""
"PRIMA PAROL","","","","",""
"Printedpolytheneltd UK","","","","",""
"PROCON PACIFIC LLC","","","","",""
"Procudan A/S","","","","-",""
"PRODEMAN","","","","",""
"prodinger verpackun","","","","",""
"Prodinger Verpackung Germany","","","","",""
"Producpar SA","","","","","Paraguay"
"Profipac GesmbH","","","","",""
"PROMOTIONAL TEXTILES","","","","",""
"PRO-PAC PACKAGING ","","","","",""
"PTC LTD. Latvia","","","","",""
"QAFCO","","","","",""
"Qatalum","","","","",""
"Qpac Packaging LLP","","","","",""
"Quincy Bag Co.","","","","",""
"Rabigh Indusiries Co Ltd","","","","",""
"Rachana Seeds Industries Pvt Ltd","","","","-","India"
"Raffia Industrrial","","","","",""
"Raficon","","","","",""
"Rajesh Wadhwa","","","","",""
"Rajiv Gupta","","","","",""
"RAVITAILLEMENT INTERNATIONAL INC.","0","0","0","Quebec","Canada"
"RB Bagley and Sons Pecan","","","","",""
"RDA BULK PACKAGING LTD ","","","","",""
"RDC Imports","","","","",""
"Readymix","tomoe#artec-jp.co.jp","","","","Japan"
"RECOVERYPAK LTD.","","","","",""
"RED CHILLI","","","","",""
"Relianz AG","","","","",""
"Remax Trading & Services","","","","",""
"Renata","","","","",""
"Resein Argentina","","","","",""
"Reverte Minerals","","","","","Spain"
"Rheine","","","","",""
"RHI MAGNESITA","","","","",""
"ROBERT FERRIER","","","","",""
"Robert Noose","","","","",""
"ROLAWN TOTE","","","","",""
"Romain","","","","",""
"RONCO","","","","Concord","Canada"
"ROSARIO","","","","",""
"Rosenflex","","","","",""
"Rosenlew","","","","",""
"Rossi Emballge","","","","",""
"ROTEM AMFERT NEGEV LTD.","","","","",""
"RUBAMIN.COM","","","","",""
"Rugo Bags GMBH","","","","",""
"RumesksNNZ","","","","",""
"S & J Granulate Solutions","","","","",""
"S TIWARI","tiwari.yash1982@gmail.comq","","","","INDIA"
"S.C. BULK PAK","","","","",""
"S.G. BAKER LTD.","","","","",""
"Sac bag","","","","",""
"Saccheria Albese Snc","","","","",""
"SACCHERIA FRANCESCHETTI SPA","","","","",""
"Saccheria reggiana","","","","",""
"Sacherie de pantin","","","","",""
"Sacheriedepantin France","","","","",""
"Sacispack","","","","",""
"Sack Agency","","","","",""
"Sacke Hinrichs Gmbh","","","","",""
"Sacos Durcal S.A","","","","",""
"SACOS MARTINEZ","","","","",""
"SAFERON RESOURCES","","","","",""
"Safesack (Finland)","","","","",""
"Safesack Sweden","","","","",""
"Saijee Impex","","","","",""
"Sam Trading Company","","","","",""
"Sample","","","","",""
"Sanghi cement","","","","",""
"Sanjay Bhai","","","","",""
"Sanstar","","","","",""
"SANTOSH SEKHARAN","kambraths@gmail.com","","","",""
"Santosh Strach Products","","","","",""
"Sarbloco, SA","","","","",""
"SATECO","","","","",""
"Satinder Singh","","","","",""
"SATUCESA","","","","",""
"SAURASHTRA CEMENT LTD.","","","","",""
"SAYEGH BOB","","","","Congo","Congo"
"Scenic","","","","",""
"Schleiers","","","","",""
"SD ENTERPRISES","","","","",""
"SDK & Co. Ltd.","sdkandcoltd@gmail.com","","","","UK"
"SEBINO PACK","","","","",""
"SEGA EXPORT LTD","","","","",""
"SEINEC","","","","",""
"Seinec S.A.","","","","",""
"Sercomtel","","","","",""
"Serra sacos","","","","",""
"Servid S.L","","","","",""
"SETEGA PACK","","","","",""
"Sevenseas","","","","",""
"Shah International","","","","",""
"Shaheen Trading","","","","",""
"SHAMROCK Technologies Inc","","","","",""
"Shanna Mode Ltd.","","","","",""
"Sheldon Containers","","","","",""
"SHERWIN SINGH","","","","",""
"Shinu International","","","","",""
"Shioya co. ltd","","","","","Japan"
"SHOWA PAXXS","0","0","0","0","00"
"Shree Ram Industries","","","","",""
"Shri Vasavi Industries Ltd.","","","","",""
"Shripal Sha","","","","",""
"Shuan Shin Trading Pte Ltd","","","","",""
"shubham Tex-o-pack","","","","",""
"Siddharth Ji","","","","",""
"Sify","","","","",""
"SILAGRO Handels GmbH","hermannhaberl@silagro.at","","","","Austria"
"SJoshi","","","","",""
"SLB France","","","","",""
"Slingtec Industria Lda","","","","",""
"SO Bag","","","","",""
"SOKUFOL","","","","",""
"Sokufol Folien","","","","",""
"Solebro","","","","","France"
"Solodem","","","","",""
"Solonkova ","","","","",""
"sonvigo","","","","",""
"Sotrsack Austria ","","","","",""
"SOUTH WIND Trade Logistics & Insurance","","","","",""
"SP BULK","","","","",""
"Spanelas S.A","","","","",""
"SRF LTD","","","","",""
"ST[O]K EMBALLAGE","","","","",""
"Star Mint field Pvt. Ltd.","","","","",""
"Stary Mlyn LTD","","","","",""
"STATITECH LTD","","","","",""
"STMRR","","","","","Algeria"
"Storm","","","","",""
"Storsack","","","","",""
"Storsack (Victoria)","","","","",""
"Storsack Austria","","","","","Austria"
"Storsack France","","","","",""
"STORSACK GERMANY","","","","",""
"Storsack International GMBH","","","","",""
"Storsack Netherlands","","","","",""
"Storsack Nordic AB","","","","",""
"Storsack Paccom","","","","",""
"Storsack Potugal","","","","",""
"Storsack USA","","","","",""
"Storsack Vieit Nam","","","","",""
"STROSACK FRANCE","","","","",""
"STYROLITION","","","","",""
"SUFFERN PLATING CORP.","","","","",""
"SUMITRA CHEMICALS","","","","",""
"SUN AGRO","","","","",""
"SUNJUT","","","","",""
"SUNSHINE OLEOCHEM LTD.","","","","",""
"Superb Packaging","","","","",""
"SUTAPLAS","","","","",""
"Syr-Mak sa","","","","",""
"System Business Shibata","","","","",""
"TAKIS PETROU","","","","",""
"TANI INDUSTRIES","0","0","0","o","JAPAN"
"TARRA Russia","","","","",""
"TASK Machanical","","","","",""
"Tata Chemicals Ltd.","","","","",""
"Tata International","","","","",""
"TCI Manufacturing Inc.","","","","Fredericton",""
"TEAG TEXTIL","S","","","",""
"TEAG TEXTIL- EMBALLAGEN AG","S","","","",""
"TECHNOPAC GmbH GERMANY","","","","",""
"Technopacking","","","","",""
"Tecnico Compras","","","","",""
"Teliks Grupa Ltd","","","","",""
"Tellas","","","","","GREECE"
"Terapanth salt","","","","",""
"TERRA S.A.","","","","",""
"TESICOL SA","marketing@tesicol.com.co","","","",""
"THAI CARBON BLACK","","","","",""
"THE MEGASACK CORPORATION","","","","",""
"THRACE PLASTICS","","","","",""
"THRACE POLYBULK","","","","",""
"Thrace Synthetic Packaging Ltd.","","","","",""
"Tiger Pack","","","","",""
"Tilia","","","","",""
"TIMAC AGRO","","","","",""
"Tirupati","","","","",""
"TLTexim","","","","",""
"Toledo Bag","","","","",""
"Top Tech","","","","",""
